weather_date,wind_direction,wind_speed,global_radiation,temperature,humity,atmospheric_pressure,precipitation
04/01/13 05:30,48.9,0,0,-1.5,91,853.2,0
04/01/13 05:45,67.6,0,0,-1.4,92,853.5,0
04/01/13 06:00,46.8,0,0,-1.3,92,853.6,0
04/01/13 06:15,34,0,0,-1.3,92,853.5,0
04/01/13 06:30,63.9,0,0,-1.3,92,853.8,0
04/01/13 06:45,79.5,0,1.1,-1.1,92,853.8,0
04/01/13 07:00,106.9,0,4.5,-0.9,92,853.9,0
04/01/13 07:15,69.3,0,8.1,-1,91,854,0
04/01/13 07:30,44.4,0.1,8.8,-0.9,90,854.6,0
04/01/13 07:45,169.1,0.3,11.6,-1.2,89,854.7,0
04/01/13 08:00,145.4,0.7,13.7,-1.3,88,855,0
04/01/13 08:15,145.5,1.7,19.2,-1.4,89,854.9,0
04/01/13 08:30,164.7,1.1,24.1,-1.5,90,855,0
04/01/13 08:45,91.5,0.2,34.7,-1.6,90,855.2,0
04/01/13 09:00,194.3,0,38.4,-1.5,90,855.3,0
04/01/13 09:15,133.8,0,44.1,-1.3,89,855.6,0
04/01/13 09:30,177.5,0,50.5,-1.2,88,855.4,0
04/01/13 09:45,39.5,0,45.4,-1,88,855.2,0
04/01/13 10:00,292.6,0,56.2,-0.9,88,855.3,0
04/01/13 10:15,264.5,0,75.3,-0.5,88,854.8,0
04/01/13 10:30,313.6,0,83.7,-0.3,87,854.6,0
04/01/13 10:45,138.8,0,109.4,-0.1,86,854.5,0
04/01/13 11:00,206.8,0,88.3,-0.3,86,854.6,0.2
04/01/13 11:15,126.9,0,106.6,0.1,86,854.6,0
04/01/13 11:30,255.3,0,66.2,-0.1,86,854.2,0
04/01/13 11:45,154.8,0,62,-0.2,87,853.9,0
04/01/13 12:00,177.6,0.1,57.8,-0.2,87,853.9,0
04/01/13 12:15,23.7,0,65.7,-0.1,87,853.7,0
04/01/13 12:30,150.6,0,92.6,0.3,86,853.5,0
04/01/13 12:45,68,0,123.5,0.7,85,853.8,0
04/01/13 13:00,38.6,0,103.9,1.3,82,853.4,0
04/01/13 13:15,42.9,0,99.9,1.4,81,853.1,0
04/01/13 13:30,49.3,0.1,66.8,1.3,80,853.3,0
04/01/13 13:45,150.4,0,71.7,1.1,81,853.5,0
04/01/13 14:00,30.5,0,86.2,1.8,79,853.2,0
04/01/13 14:15,32.6,0,78.8,1.8,78,853.2,0
04/01/13 14:30,13.7,0,69.5,2,77,853.6,0
04/01/13 14:45,233.6,0,55.7,1.8,77,853.5,0
04/01/13 15:00,304.2,0,36.7,1.9,77,853.6,0
04/01/13 15:15,143.5,0,25.5,1.9,77,853.8,0
04/01/13 15:30,152.7,0,24.5,1.7,80,853.9,0
04/01/13 15:45,156.8,0,26,1.6,81,853.8,0
04/01/13 16:00,154.5,0,23.9,1.9,80,854,0
04/01/13 16:15,37.9,0,21.2,2.1,79,854.2,0
04/01/13 16:30,80.1,0,12.9,2.2,79,853.8,0
04/01/13 16:45,267.7,0,5.9,2,79,854,0
04/01/13 17:00,169.8,0,1.7,2.1,79,854.3,0
04/01/13 17:15,68.8,0,0,2.1,79,854.3,0
04/01/13 17:30,85.4,0,0,2.1,79,854.8,0
04/01/13 17:45,96.7,0,0,2.2,80,854.7,0
04/01/13 18:00,18,0,0,2.2,80,854.5,0
04/01/13 18:15,30.7,0.1,0,2.2,80,855,0
04/01/13 18:30,108.7,0,0,2,81,855,0
04/01/13 18:45,170.3,0,0,1.7,82,855.1,0
04/01/13 19:00,257.2,0.2,0,1.6,82,855.7,0
04/01/13 19:15,166,0.1,0,1.5,83,855.2,0
04/01/13 19:30,8.2,1.2,0,1.4,83,855.4,0
04/01/13 19:45,102.5,0,0.1,1.3,83,855.5,0
04/01/13 20:00,167,0,0,1.4,84,855.8,0
04/01/13 20:15,251.1,0,0,1.4,84,856,0
04/01/13 20:30,64.8,0,0,1.3,84,856,0
04/01/13 20:45,34.2,0,0,1.2,85,856.1,0
04/01/13 21:00,144.1,0,0,1.2,86,855.9,0
04/01/13 21:15,130.7,0,0,1.3,86,856.2,0
04/01/13 21:30,161,0,0,1.3,86,855.8,0
04/01/13 21:45,65.5,0,0,1.3,87,856.1,0
04/01/13 22:00,30.7,0,0,1.4,86,856,0
04/01/13 22:15,32,0,0,1.4,86,855.8,0
04/01/13 22:30,24.4,0,0,1.5,86,855.9,0
04/01/13 22:45,41.6,0,0,1.6,86,855.7,0
04/01/13 23:00,151.1,0,0,1.8,86,855.8,0
04/01/13 23:15,66.5,0,0,1.8,86,856.1,0
04/01/13 23:30,22.4,0,0,1.9,85,855.4,0
04/01/13 23:45,20.7,0,0,1.9,85,855.6,0
05/01/13 00:00,24.2,0,0,1.9,84,855.5,0
05/01/13 00:15,33.1,0,0,1.9,84,855.6,0
05/01/13 00:30,49.9,0,0,2,84,855.2,0
05/01/13 00:45,52.4,0.1,0,1.9,84,855,0
05/01/13 01:00,34.6,0,0,1.9,84,855.1,0
05/01/13 01:15,31.1,0,0.1,2,84,855,0
05/01/13 01:30,43.4,0,0,2,84,855.2,0
05/01/13 01:45,71.7,0,0,2,83,855.2,0
05/01/13 02:00,109.1,0,0,2.3,81,855,0
05/01/13 02:15,104.6,0,0,2.3,81,854.8,0
05/01/13 02:30,77.1,0,0,2.4,81,854.6,0
05/01/13 02:45,60.2,0,0,2.2,82,854.9,0
05/01/13 03:00,46.8,0,0,2.2,83,854.7,0
05/01/13 03:15,53.8,0,0,2.2,83,854.7,0
05/01/13 03:30,58.8,0,0,2.2,83,854.9,0
05/01/13 03:45,90.8,0,0,2.2,83,854.8,0
05/01/13 04:00,67.7,0,0,2.3,82,855.2,0
05/01/13 04:15,129.8,0,0,2.3,82,855.4,0
05/01/13 04:30,86.2,0,0,2.2,82,855.1,0
05/01/13 04:45,183.8,0,0,2.2,82,855.1,0
05/01/13 05:00,117.6,0,0,2.3,81,855.5,0
05/01/13 05:15,197.1,0,0,2.2,81,855.5,0
05/01/13 05:30,39.4,0,0,2.2,81,856.3,0
05/01/13 05:45,259.4,0,0,2.1,81,856.3,0
05/01/13 06:00,90,0.4,0.1,2,81,856.6,0
05/01/13 06:15,209.9,0,1,1.8,82,856.8,0
05/01/13 06:30,241.2,0,0,1.9,82,857.2,0
05/01/13 06:45,105.3,0,0.7,2,82,856.9,0
05/01/13 07:00,294.7,0,3.8,2.1,82,857.3,0
05/01/13 07:15,126.8,0,9.4,2.2,81,857.5,0
05/01/13 07:30,225.6,0,15.3,2.3,81,857.3,0
05/01/13 07:45,129.1,0,21.1,2.5,80,857.7,0
05/01/13 08:00,12.9,0,30.1,2.6,80,857,0
05/01/13 08:15,59,0,40.2,2.6,80,857,0
05/01/13 08:30,30.1,0.3,49.9,2.9,79,857.7,0
05/01/13 08:45,32.4,0,49,3.1,79,857.5,0
05/01/13 09:00,55.6,0.9,58.8,3,78,857.5,0
05/01/13 09:15,26.8,5.6,87.2,2.7,79,857.6,0
05/01/13 09:30,59.9,0.4,105.8,2.9,78,857.6,0
05/01/13 09:45,64.9,0,109.2,3.2,77,858,0
05/01/13 10:00,52.9,0.4,132.9,3.2,75,857.9,0
05/01/13 10:15,89.3,0.3,156.5,3.6,74,857.8,0
05/01/13 10:30,30.4,3,220.8,3.8,73,857.6,0
05/01/13 10:45,21.4,0.7,197.6,4.1,71,857.5,0
05/01/13 11:00,46.5,0.1,294.9,4.7,69,857.5,0
05/01/13 11:15,21.5,0.5,315.3,5.5,66,857.2,0
05/01/13 11:30,126.8,1.2,398.7,6.3,64,856.8,0
05/01/13 11:45,84.6,2.3,392.2,7,61,856.7,0
05/01/13 12:00,244.8,1.5,368.9,7.4,60,856.2,0
05/01/13 12:15,254.2,1.9,367.6,7.1,60,855.6,0
05/01/13 12:30,165.2,2,359.1,6.5,63,855.5,0
05/01/13 12:45,50.1,0.8,344.8,7.3,60,855.4,0
05/01/13 13:00,13.1,0.8,342,7.7,58,855.2,0
05/01/13 13:15,173.3,0.3,327.5,7.7,57,855.6,0
05/01/13 13:30,7.1,1.4,318.6,8.6,55,855.2,0
05/01/13 13:45,167.3,0.5,304.1,8.5,56,855.1,0
05/01/13 14:00,13,0.7,288.8,8.2,58,855.5,0
05/01/13 14:15,6.4,2,276.1,8.4,57,855.2,0
05/01/13 14:30,1.7,0,257.9,8.7,55,855.1,0
05/01/13 14:45,188.6,3.6,242.9,8.6,55,855,0
05/01/13 15:00,2.4,3.3,225.3,8.7,55,855.1,0
